time,emotion
0:00:00,angry
0:00:00,fear
0:00:01,fear
0:00:01,fear
0:00:01,neutral
0:00:01,fear
0:00:01,sad
0:00:02,sad
0:00:02,sad
0:00:02,sad
0:00:02,sad
0:00:03,sad
0:00:03,sad
0:00:03,sad
0:00:03,sad
0:00:03,sad
0:00:04,sad
0:00:04,surprise
0:00:04,angry
0:00:04,sad
0:00:04,neutral
0:00:05,neutral
0:00:05,angry
0:00:05,angry
0:00:05,angry
0:00:05,angry
0:00:06,angry
0:00:06,angry
0:00:06,angry
0:00:06,fear
0:00:06,surprise
0:00:07,neutral
0:00:07,neutral
0:00:07,neutral
0:00:07,neutral
0:00:08,neutral
0:00:08,neutral
0:00:08,neutral
0:00:08,neutral
0:00:08,neutral
0:00:09,fear
0:00:09,fear
0:00:09,neutral
0:00:09,fear
0:00:09,fear
0:00:10,happy
0:00:10,angry
0:00:10,neutral
0:00:10,sad
0:00:10,sad
0:00:11,sad
0:00:11,angry
0:00:11,sad
0:00:11,fear
0:00:11,neutral
0:00:12,fear
0:00:12,fear
0:00:12,fear
0:00:12,neutral
0:00:13,fear
0:00:13,fear
0:00:13,fear
0:00:13,neutral
0:00:13,happy
0:00:14,happy
0:00:14,happy
0:00:14,happy
0:00:14,happy
0:00:14,neutral
0:00:15,happy
0:00:15,happy
0:00:15,happy
0:00:15,happy
0:00:15,happy
0:00:16,happy
0:00:16,happy
0:00:16,happy
0:00:16,happy
0:00:16,neutral
0:00:17,neutral
0:00:17,neutral
0:00:17,happy
0:00:17,happy
0:00:18,neutral
0:00:18,neutral
0:00:18,sad
0:00:18,happy
0:00:18,angry
0:00:19,angry
0:00:19,fear
0:00:19,fear
0:00:19,sad
0:00:19,happy
0:00:20,happy
0:00:20,neutral
0:00:20,neutral
0:00:20,angry
0:00:20,neutral
0:00:21,neutral
0:00:21,angry
0:00:21,sad
0:00:21,sad
0:00:21,sad
0:00:22,angry
0:00:22,happy
0:00:22,sad
0:00:22,fear
0:00:23,neutral
0:00:23,happy
0:00:23,sad
0:00:23,happy
0:00:23,happy
0:00:24,happy
0:00:24,neutral
0:00:24,happy
0:00:24,happy
0:00:24,happy
0:00:25,happy
0:00:25,happy
0:00:25,fear
0:00:25,fear
0:00:25,angry
0:00:26,happy
0:00:26,happy
0:00:26,happy
0:00:26,happy
0:00:26,happy
0:00:27,happy
0:00:27,happy
0:00:27,happy
0:00:27,happy
0:00:28,happy
0:00:28,happy
0:00:28,happy
0:00:28,happy
0:00:28,happy
0:00:29,happy
0:00:29,happy
0:00:29,neutral
0:00:29,neutral
0:00:29,happy
0:00:30,happy
0:00:30,happy
0:00:30,angry
0:00:30,neutral
0:00:30,neutral
0:00:31,sad
0:00:31,neutral
0:00:31,neutral
0:00:31,happy
0:00:31,happy
0:00:32,neutral
0:00:32,neutral
0:00:32,happy
0:00:32,happy
0:00:33,happy
0:00:33,neutral
0:00:33,neutral
0:00:33,sad
0:00:33,neutral
0:00:34,happy
0:00:34,happy
0:00:34,happy
0:00:34,happy
0:00:34,happy
0:00:35,happy
0:00:35,happy
0:00:35,happy
0:00:35,happy
0:00:35,happy
0:00:36,happy
0:00:36,happy
0:00:36,happy
0:00:36,happy
0:00:36,neutral
0:00:37,happy
0:00:37,neutral
0:00:37,neutral
0:00:37,neutral
0:00:38,angry
0:00:38,angry
0:00:38,sad
0:00:38,angry
0:00:38,angry
0:00:39,angry
0:00:39,angry
0:00:39,neutral
0:00:39,sad
0:00:39,neutral
0:00:40,angry
0:00:40,angry
0:00:40,angry
0:00:40,happy
0:00:40,happy
0:00:41,fear
0:00:41,fear
0:00:41,happy
0:00:41,neutral
0:00:41,neutral
0:00:42,neutral
0:00:42,neutral
0:00:42,neutral
0:00:42,happy
0:00:43,sad
0:00:43,neutral
0:00:43,angry
0:00:43,angry
0:00:43,sad
0:00:44,angry
0:00:44,neutral
0:00:44,neutral
0:00:44,neutral
0:00:44,sad
0:00:45,angry
0:00:45,neutral
0:00:45,sad
0:00:45,neutral
0:00:45,neutral
0:00:46,angry
0:00:46,sad
0:00:46,angry
0:00:46,angry
0:00:47,angry
0:00:47,angry
0:00:47,neutral
0:00:47,happy
0:00:47,happy
0:00:48,angry
0:00:48,angry
0:00:48,happy
0:00:48,neutral
0:00:48,happy
0:00:49,happy
0:00:49,neutral
0:00:49,happy
0:00:49,happy
0:00:49,neutral
0:00:50,neutral
0:00:50,neutral
0:00:50,neutral
0:00:50,angry
0:00:50,angry
0:00:51,neutral
0:00:51,neutral
0:00:51,neutral
0:00:51,neutral
0:00:52,sad
0:00:52,happy
0:00:52,neutral
0:00:52,neutral
0:00:52,angry
0:00:53,neutral
0:00:53,neutral
0:00:53,happy
0:00:53,happy
0:00:53,happy
0:00:54,neutral
0:00:54,neutral
0:00:54,neutral
0:00:54,neutral
0:00:54,neutral
0:00:55,sad
0:00:55,fear
0:00:55,sad
0:00:55,neutral
0:00:55,happy
0:00:56,angry
0:00:56,angry
0:00:56,happy
0:00:56,happy
0:00:57,happy
0:00:57,happy
0:00:57,happy
0:00:57,neutral
0:00:57,neutral
0:00:58,neutral
0:00:58,happy
0:00:58,fear
0:00:58,neutral
0:00:58,happy
0:00:59,neutral
0:00:59,neutral
0:00:59,happy
0:00:59,neutral
0:00:59,happy
0:01:00,angry
0:01:00,happy
0:01:00,neutral
0:01:00,neutral
0:01:00,fear
0:01:01,neutral
0:01:01,sad
0:01:01,neutral
0:01:01,happy
0:01:02,angry
0:01:02,surprise
0:01:02,angry
0:01:02,fear
0:01:02,neutral
0:01:03,angry
0:01:03,neutral
0:01:03,neutral
0:01:03,neutral
0:01:03,neutral
0:01:04,neutral
0:01:04,neutral
0:01:04,angry
0:01:04,angry
0:01:04,angry
0:01:05,angry
0:01:05,angry
0:01:05,neutral
0:01:05,neutral
0:01:05,neutral
0:01:06,neutral
0:01:06,happy
0:01:06,fear
0:01:06,neutral
0:01:07,sad
0:01:07,neutral
0:01:07,sad
0:01:07,happy
0:01:07,angry
0:01:08,sad
0:01:08,sad
0:01:08,sad
0:01:08,happy
0:01:08,happy
0:01:09,neutral
0:01:09,angry
0:01:09,sad
0:01:09,sad
0:01:09,neutral
0:01:10,sad
0:01:10,neutral
0:01:10,fear
0:01:10,fear
0:01:10,fear
0:01:11,fear
0:01:11,happy
0:01:11,fear
0:01:11,sad
0:01:12,sad
0:01:12,sad
0:01:12,sad
0:01:12,sad
0:01:12,sad
0:01:13,sad
0:01:13,sad
0:01:13,sad
0:01:13,angry
0:01:13,fear
0:01:14,angry
0:01:14,neutral
0:01:14,angry
0:01:14,angry
0:01:14,angry
0:01:15,angry
0:01:15,angry
0:01:15,fear
0:01:15,fear
0:01:15,fear
0:01:16,fear
0:01:16,angry
0:01:16,happy
0:01:16,fear
0:01:17,fear
0:01:17,fear
0:01:17,fear
0:01:17,fear
0:01:17,fear
0:01:18,fear
0:01:18,fear
0:01:18,fear
0:01:18,fear
0:01:18,fear
0:01:19,fear
0:01:19,fear
0:01:19,fear
0:01:19,fear
0:01:19,fear
0:01:20,fear
0:01:20,fear
0:01:20,fear
0:01:20,fear
0:01:20,angry
0:01:21,angry
